2.0	2600.0	1040.0
2.0	1900.0	760.0
2.0	2300.0	920.0
2.0	2100.0	840.0
2.0	2800.0	1120.0
2.0	1700.0	680.0
2.0	1100.0	440.0
2.0	2800.0	1120.0
2.0	2000.0	800.0
2.0	2100.0	840.0
2.0	2600.0	1040.0
2.0	1900.0	760.0
2.0	2300.0	920.0
2.0	2100.0	840.0
2.0	2800.0	1120.0
2.0	1700.0	680.0
2.0	1100.0	440.0
2.0	2800.0	1120.0
2.0	2000.0	800.0
2.0	2100.0	840.0
2.0	2600.0	1040.0
2.0	1900.0	760.0
2.0	2300.0	920.0
2.0	2100.0	840.0
2.0	2800.0	1120.0
2.0	1700.0	680.0
2.0	1100.0	440.0
2.0	2800.0	1120.0
2.0	2000.0	800.0
2.0	2100.0	840.0
2.0	2600.0	1040.0
2.0	1900.0	760.0
2.0	2300.0	920.0
2.0	2100.0	840.0
2.0	2800.0	1120.0
2.0	1700.0	680.0
2.0	1100.0	440.0
2.0	2800.0	1120.0
2.0	2000.0	800.0
2.0	2100.0	840.0
2.0	2600.0	1040.0
2.0	1900.0	760.0
2.0	2300.0	920.0
2.0	2100.0	840.0
2.0	2800.0	1120.0
2.0	1700.0	680.0
2.0	1100.0	440.0
2.0	2800.0	1120.0
2.0	2000.0	800.0
2.0	2100.0	840.0
2.0	2600.0	1040.0
2.0	1900.0	760.0
2.0	2300.0	920.0
2.0	2100.0	840.0
2.0	2800.0	1120.0
2.0	1700.0	680.0
2.0	1100.0	440.0
2.0	2800.0	1120.0
2.0	2000.0	800.0
2.0	2100.0	840.0
2.0	2600.0	1040.0
2.0	1900.0	760.0
2.0	2300.0	920.0
2.0	2100.0	84
